Time,ECG_Signal,Frequency
0,0,1
0.001001001,0.004717124,1.000031447
0.002002002,0.009434161,1.000062895
0.003003003,0.014150924,6
0.004004004,0.018867225,1.000125789
0.005005005,0.023582879,1.000157237
0.006006006,0.028297698,1.000188684
0.007007007,0.033011497,1.000220132
0.008008008,0.037724088,1.000251579
0.009009009,0.042435286,1.000283026
0.01001001,0.047144902,1.000314474
0.011011011,0.051852752,1.000345921
0.012012012,0.056558649,1.000377368
0.013013013,0.061262405,1.000408816
0.014014014,0.065963835,1.000440263
0.015015015,0.070662753,1.000471711
0.016016016,0.075358973,1.000503158
0.017017017,0.080052308,1.000534605
0.018018018,0.084742572,1.000566053
0.019019019,0.089429579,1.0005975
0.02002002,0.094113145,1.000628947
0.021021021,0.098793083,1.000660395
0.022022022,0.103469207,1.000691842
0.023023023,0.108141332,1.000723289
0.024024024,0.112809274,1.000754737
0.025025025,0.117472846,1.000786184
0.026026026,0.122131864,1.000817631
0.027027027,0.126786143,1.000849079
0.028028028,0.131435499,1.000880526
0.029029029,0.136079746,1.000911973
0.03003003,0.140718702,1.000943421
0.031031031,0.145352181,1.000974868
0.032032032,0.149979999,1.001006315
0.033033033,0.154601974,1.001037763
0.034034034,0.159217922,1.00106921
0.035035035,0.163827659,1.001100657
0.036036036,0.168431002,1.001132104
0.037037037,0.173027769,1.001163552
0.038038038,0.177617777,1.001194999
0.039039039,0.182200844,1.001226446
0.04004004,0.186776787,1.001257894
0.041041041,0.191345426,1.001289341
0.042042042,0.195906577,1.001320788
0.043043043,0.200460062,1.001352235
0.044044044,0.205005697,1.001383683
0.045045045,0.209543303,1.00141513
0.046046046,0.214072699,1.001446577
0.047047047,0.218593706,1.001478024
0.048048048,0.223106143,1.001509472
0.049049049,0.227609831,1.001540919
0.05005005,0.232104591,1.001572366
0.051051051,0.236590245,1.001603813
0.052052052,0.241066613,1.001635261
0.053053053,0.245533518,1.001666708
0.054054054,0.249990783,1.001698155
0.055055055,0.254438229,1.001729602
0.056056056,0.25887568,1.001761049
0.057057057,0.263302959,1.001792496
0.058058058,0.26771989,1.001823944
0.059059059,0.272126298,1.001855391
0.06006006,0.276522006,1.001886838
0.061061061,0.28090684,1.001918285
0.062062062,0.285280625,1.001949732
0.063063063,0.289643188,1.001981179
0.064064064,0.293994354,1.002012626
0.065065065,0.298333949,1.002044074
0.066066066,0.302661802,1.002075521
0.067067067,0.30697774,1.002106968
0.068068068,0.31128159,1.002138415
0.069069069,0.315573182,1.002169862
0.07007007,0.319852343,1.002201309
0.071071071,0.324118905,1.002232756
0.072072072,0.328372696,1.002264203
0.073073073,0.332613546,1.00229565
0.074074074,0.336841288,1.002327097
0.075075075,0.341055752,1.002358544
0.076076076,0.345256771,1.002389991
0.077077077,0.349444175,1.002421438
0.078078078,0.3536178,1.002452885
0.079079079,0.357777477,1.002484332
0.08008008,0.361923042,1.002515779
0.081081081,0.366054328,1.002547226
0.082082082,0.370171171,1.002578673
0.083083083,0.374273406,1.00261012
0.084084084,0.37836087,1.002641567
0.085085085,0.3824334,1.002673014
0.086086086,0.386490832,1.002704461
0.087087087,0.390533005,1.002735908
0.088088088,0.394559757,1.002767355
0.089089089,0.398570928,1.002798802
0.09009009,0.402566357,1.002830249
0.091091091,0.406545884,1.002861695
0.092092092,0.410509351,1.002893142
0.093093093,0.414456599,1.002924589
0.094094094,0.418387471,1.002956036
0.095095095,0.422301809,1.002987483
0.096096096,0.426199456,1.00301893
0.097097097,0.430080257,1.003050376
0.098098098,0.433944057,1.003081823
0.099099099,0.4377907,1.00311327
0.1001001,0.441620034,1.003144717
0.101101101,0.445431905,1.003176163
0.102102102,0.44922616,1.00320761
0.103103103,0.453002647,1.003239057
0.104104104,0.456761216,1.003270504
0.105105105,0.460501716,1.00330195
0.106106106,0.464223997,1.003333397
0.107107107,0.46792791,1.003364844
0.108108108,0.471613307,1.00339629
0.109109109,0.47528004,1.003427737
0.11011011,0.478927962,1.003459184
0.111111111,0.482556927,1.00349063
0.112112112,0.486166789,1.003522077
0.113113113,0.489757405,1.003553523
0.114114114,0.49332863,1.00358497
0.115115115,0.49688032,1.003616416
0.116116116,0.500412333,1.003647863
0.117117117,0.503924529,1.00367931
0.118118118,0.507416765,1.003710756
0.119119119,0.510888902,1.003742203
0.12012012,0.514340801,1.003773649
0.121121121,0.517772322,1.003805096
0.122122122,0.521183329,1.003836542
0.123123123,0.524573683,1.003867988
0.124124124,0.52794325,1.003899435
0.125125125,0.531291894,1.003930881
0.126126126,0.53461948,1.003962328
0.127127127,0.537925875,1.003993774
0.128128128,0.541210945,1.00402522
0.129129129,0.54447456,1.004056667
0.13013013,0.547716587,1.004088113
0.131131131,0.550936896,1.004119559
0.132132132,0.554135359,1.004151006
0.133133133,0.557311845,1.004182452
0.134134134,0.560466228,1.004213898
0.135135135,0.563598381,1.004245344
0.136136136,0.566708177,1.004276791
0.137137137,0.569795492,1.004308237
0.138138138,0.572860201,1.004339683
0.139139139,0.575902181,1.004371129
0.14014014,0.578921309,1.004402575
0.141141141,0.581917464,1.004434022
0.142142142,0.584890525,1.004465468
0.143143143,0.587840372,1.004496914
0.144144144,0.590766886,1.00452836
0.145145145,0.593669951,1.004559806
0.146146146,0.596549447,1.004591252
0.147147147,0.59940526,1.004622698
0.148148148,0.602237274,1.004654144
0.149149149,0.605045375,1.00468559
0.15015015,0.60782945,1.004717036
0.151151151,0.610589386,1.004748482
0.152152152,0.613325072,1.004779928
0.153153153,0.616036398,1.004811374
0.154154154,0.618723253,1.00484282
0.155155155,0.62138553,1.004874266
0.156156156,0.624023121,1.004905712
0.157157157,0.626635919,1.004937157
0.158158158,0.629223818,1.004968603
0.159159159,0.631786715,1.005000049
0.16016016,0.634324505,1.005031495
0.161161161,0.636837086,1.005062941
0.162162162,0.639324356,1.005094386
0.163163163,0.641786214,1.005125832
0.164164164,0.644222561,1.005157278
0.165165165,0.646633298,1.005188724
0.166166166,0.649018327,1.005220169
0.167167167,0.651377553,1.005251615
0.168168168,0.653710878,1.005283061
0.169169169,0.656018209,1.005314506
0.17017017,0.658299452,1.005345952
0.171171171,0.660554515,1.005377397
0.172172172,0.662783305,1.005408843
0.173173173,0.664985733,1.005440288
0.174174174,0.667161709,1.005471734
0.175175175,0.669311145,1.005503179
0.176176176,0.671433953,1.005534625
0.177177177,0.673530047,1.00556607
0.178178178,0.675599342,1.005597516
0.179179179,0.677641754,1.005628961
0.18018018,0.679657199,1.005660406
0.181181181,0.681645595,1.005691852
0.182182182,0.683606863,1.005723297
0.183183183,0.685540921,1.005754742
0.184184184,0.68744769,1.005786188
0.185185185,0.689327094,1.005817633
0.186186186,0.691179055,1.005849078
0.187187187,0.693003498,1.005880523
0.188188188,0.694800349,1.005911969
0.189189189,0.696569533,1.005943414
0.19019019,0.69831098,1.005974859
0.191191191,0.700024616,1.006006304
0.192192192,0.701710373,1.006037749
0.193193193,0.703368182,1.006069194
0.194194194,0.704997974,1.006100639
0.195195195,0.706599683,1.006132084
0.196196196,0.708173243,1.006163529
0.197197197,0.70971859,1.006194974
0.198198198,0.711235659,1.006226419
0.199199199,0.71272439,1.006257864
0.2002002,0.71418472,1.006289309
0.201201201,0.71561659,1.006320754
0.202202202,0.717019941,1.006352199
0.203203203,0.718394714,1.006383643
0.204204204,0.719740854,1.006415088
0.205205205,0.721058305,1.006446533
0.206206206,0.722347012,1.006477978
0.207207207,0.723606922,1.006509423
0.208208208,0.724837983,1.006540867
0.209209209,0.726040144,1.006572312
0.21021021,0.727213356,1.006603757
0.211211211,0.728357569,1.006635201
0.212212212,0.729472736,1.006666646
0.213213213,0.730558812,1.00669809
0.214214214,0.731615749,1.006729535
0.215215215,0.732643506,1.006760979
0.216216216,0.733642038,1.006792424
0.217217217,0.734611304,1.006823868
0.218218218,0.735551264,1.006855313
0.219219219,0.736461878,1.006886757
0.22022022,0.737343108,1.006918201
0.221221221,0.738194917,1.006949646
0.222222222,0.739017268,1.00698109
0.223223223,0.739810128,1.007012534
0.224224224,0.740573463,1.007043979
0.225225225,0.741307241,1.007075423
0.226226226,0.742011429,1.007106867
0.227227227,0.742685999,1.007138311
0.228228228,0.743330922,1.007169756
0.229229229,0.74394617,1.0072012
0.23023023,0.744531716,1.007232644
0.231231231,0.745087535,1.007264088
0.232232232,0.745613603,1.007295532
0.233233233,0.746109898,1.007326976
0.234234234,0.746576397,1.00735842
0.235235235,0.74701308,1.007389864
0.236236236,0.747419928,1.007421308
0.237237237,0.747796922,1.007452752
0.238238238,0.748144046,1.007484195
0.239239239,0.748461285,1.007515639
0.24024024,0.748748622,1.007547083
0.241241241,0.749006045,1.007578527
0.242242242,0.749233543,1.007609971
0.243243243,0.749431103,1.007641414
0.244244244,0.749598716,1.007672858
0.245245245,0.749736374,1.007704302
0.246246246,0.749844069,1.007735745
0.247247247,0.749921795,1.007767189
0.248248248,0.749969547,1.007798632
0.249249249,0.749987321,1.007830076
0.25025025,0.749975114,1.00786152
0.251251251,0.749932926,1.007892963
0.252252252,0.749860756,1.007924406
0.253253253,0.749758605,1.00795585
0.254254254,0.749626475,1.007987293
0.255255255,0.74946437,1.008018737
0.256256256,0.749272294,1.00805018
0.257257257,0.749050253,1.008081623
0.258258258,0.748798254,1.008113066
0.259259259,0.748516305,1.00814451
0.26026026,0.748204416,1.008175953
0.261261261,0.747862597,1.008207396
0.262262262,0.74749086,1.008238839
0.263263263,0.747089219,1.008270282
0.264264264,0.746657686,1.008301725
0.265265265,0.746196279,1.008333168
0.266266266,0.745705012,1.008364611
0.267267267,0.745183905,1.008396054
0.268268268,0.744632975,1.008427497
0.269269269,0.744052244,1.00845894
0.27027027,0.743441732,1.008490383
0.271271271,0.742801463,1.008521826
0.272272272,0.742131459,1.008553268
0.273273273,0.741431746,1.008584711
0.274274274,0.74070235,1.008616154
0.275275275,0.739943299,1.008647597
0.276276276,0.739154621,1.008679039
0.277277277,0.738336345,1.008710482
